ARG,BLZ,BOL,CHL,COL,CRI,DOM,ECU,SLV,GTM,HTI,JAM,MEX,PRY,PER,SUR,TTO,VEN
zona_c,zona_c,zona_c,zona_c,aedu_ci,region_c,zona_c,zona_c,zona_c,zona_c,hv235,i4,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c
region_c,region_c,region_c,region_c,p4030s3,aedu_ci,region_c,region_c,region_c,region_c,hv236,i5,region_c,region_c,region_c,region_c,region_c,region_c
aedu_ci,aedu_ci,aedu_ci,aedu_ci,p4030s5,v11,aedu_ci,aedu_ci,aedu_ci,aedu_ci,hv247,i6,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci
ii9,h3,s07a_01,v20,p4040,v12,donde_proviene_agua,vi13,r312,p02b03,hv238,i27,disp_agua,v06,p110a1,q13_14,water,s4q5__1
iv6,h71,s07a_01e,v20_red,p5020,v13a,donde_proviene_agua_esp,vi102,r312d,p02b04,hv238a,i28,dotac_agua,v07,p110c,q13_15,toilet,s4q5__2
iv7,h76,s07a_02,v22,p5030,v13b,tiene_agua_red_publica,vi10a,r312h,p02b07,hv237,i29,excusado,v07a,p110c1,q13_16,,s4q5__3
iv8,q21_1,s07a_03,v23,p5050,v14a,tipo_sanitario,vi10,r313,p02a05a,,i30_d,uso_compar,v08,p110c2,q13_24,,s4q5__4
iv9,q21_2,,v23_sistema,p5030,v14b,se_encuentra_conectada_a,vi11,r314,p02a05b,,i30_w,sanit_agua,v09,p110c3,,,s4q5__5
iv10,q21_3,,v23_cajon,p5050,,,vi101,r315,p02a05e,,i31,bano_comp,v12,p110f,,,s4q5__6
iv11,q21_4,,,,,,vi09,r316,,,i32,bano_excus,v13,p110g,,,s4q5_os
,q21_5,,,,,,vi09a,r317a,,,,bano_regad,,p110,,,s4q6
,q21_6,,,,,,vi09b,r318,,,,drenaje,,p111a,,,s5q2
,q21_7,,,,,,,,,,,biodigest,,,,,s5q3
,q21_8,,,,,,,,,,,,,,,,s5q13__1
,q21_9,,,,,,,,,,,,,,,,s5q13__2
,q22,,,,,,,,,,,,,,,,s5q13__3
,h71,,,,,,,,,,,,,,,,s5q13__4
,h72,,,,,,,,,,,,,,,,s5q13__5
,h73,,,,,,,,,,,,,,,,s5q13__6
,h74,,,,,,,,,,,,,,,,s5q13__7
,h75,,,,,,,,,,,,,,,,s5q13__8
,h76,,,,,,,,,,,,,,,,s5q13_os
,h77,,,,,,,,,,,,,,,,s4q9
,h78,,,,,,,,,,,,,,,,s5q14
,h8,,,,,,,,,,,,,,,,
